Embold,https://embold.io,"Intelligent software analytics platform that identifies design issues, code issues, duplication and metrics. Supports Java, C, C++, C#, JavaScript, TypeScript, Python, Go, Kotlin and more.","java, c, cpp, csharp, javascript, typescript, python, go, kotlin, service",Y,
errcheck,https://github.com/kisielk/errcheck,Check that error return values are used,go,N,
Error-prone,https://errorprone.info/,Catch common Java mistakes as compile-time errors,java,N,
ESBMC,http://esbmc.org/,"ESBMC is an open source, permissively licensed, context-bounded model checker based on satisfiability modulo theories for the verification of single- and multi-threaded C/C++ programs.","c, cpp",N,
escomplex,https://github.com/jared-stilwell/escomplex,Software complexity analysis of JavaScript-family abstract syntax trees,javascript,N,
eslint,https://eslint.org/,A fully pluggable tool for identifying and reporting on patterns in JavaScript,javascript,N,
ESLint,https://github.com/typescript-eslint/typescript-eslint,An extensible linter for the TypeScript language,typescript,N,
Esprima,https://esprima.org/,ECMAScript parsing infrastructure for multipurpose analysis,javascript,N,
exakat,https://www.exakat.io/,An automated code reviewing engine for PHP,"ci, php",N,
fb-contrib,http://fb-contrib.sourceforge.net/,A plugin for FindBugs with additional bug detectors,java,N,
Find Security Bugs,https://find-sec-bugs.github.io/,"The SpotBugs plugin for security audits of Java web applications and Android applications. (Also work with Kotlin, Groovy and Scala projects","groovy, java, kotlin, scala",N,
Fix Insight,https://www.tmssoftware.com/site/fixinsight.asp,A free IDE Plugin for static code analysis. A _Pro_ edition includes a command line tool for automation purposes,delphi,Y,
flake8,https://github.com/PyCQA/flake8,"A wrapper around `pyflakes`, `pycodestyle` and `mccabe`.","meta, python",N,
flawfinder,https://www.dwheeler.com/flawfinder/,Finds possible security weaknesses,"c, cpp",N,
flay,https://ruby.sadi.st/Flay.html,Flay analyzes code for structural similarities,ruby,N,
flen,https://github.com/lafolle/flen,Get info on length of functions in a Go package,go,N,
flint++,https://github.com/JossWhittle/FlintPlusPlus,"Cross-platform, zero-dependency port of flint, a lint program for C++ developed and used at Facebook.","c, cpp",N,
flog,https://ruby.sadi.st/Flog.html,"Flog reports the most tortured code in an easy to read pain report. The higher the score, the more pain the code is in.",ruby,N,
flow,https://flow.org/,A static type checker for JavaScript,javascript,N,
hegel,https://hegel.js.org/,A static type checker for JavaScript with a bias on type inference and strong type systems,javascript,N,
FlowDroid,https://github.com/secure-software-engineering/FlowDroid,Static taint analysis tool for Android applications,mobile,N,
foodcritic,http://www.foodcritic.io/,A lint tool that checks Chef cookbooks for common problems,configmanagement,N,
forbidden-apis,https://github.com/policeman-tools/forbidden-apis,Detects and forbids invocations of specific method/class/field (like reading from a text stream without a charset). Maven/Gradle/Ant compatible,java,N,
